fecha_divorcio,sexo_1,sexo_2,fecha_matrimonio,tiempo_transcurrido,anios_matrimonio,anio_divorcio,anio_matrimonio,mes_divorcio,tipo_pareja
2018-01-31,Masculino,Femenino,2012-01-31,2192 days,6.0,2018,2012.0,1,dif sexo
2018-02-01,Masculino,Femenino,2012-03-30,2134 days,5.8,2018,2012.0,2,dif sexo
2018-02-01,Masculino,Femenino,2005-12-09,4437 days,12.1,2018,2005.0,2,dif sexo
2018-02-01,Masculino,Femenino,1979-07-06,14090 days,38.6,2018,1979.0,2,dif sexo
2018-02-01,Masculino,,1974-10-16,15814 days,43.3,2018,1974.0,2,desconocido
2018-02-01,Masculino,Femenino,2015-03-10,1059 days,2.9,2018,2015.0,2,dif sexo
2018-02-01,Masculino,Femenino,2000-01-07,6600 days,18.1,2018,2000.0,2,dif sexo
2018-02-02,Masculino,Femenino,2016-09-05,515 days,1.4,2018,2016.0,2,dif sexo
2018-02-02,Masculino,Femenino,1993-03-26,9079 days,24.9,2018,1993.0,2,dif sexo
2018-02-02,Masculino,Femenino,2014-05-22,1352 days,3.7,2018,2014.0,2,dif sexo
2018-02-02,Masculino,Femenino,1997-12-17,7352 days,20.1,2018,1997.0,2,dif sexo
2018-02-02,Femenino,Masculino,2012-12-26,1864 days,5.1,2018,2012.0,2,dif sexo
2018-02-02,Masculino,Femenino,2000-03-10,6538 days,17.9,2018,2000.0,2,dif sexo
2018-02-02,Masculino,Femenino,2008-12-16,3335 days,9.1,2018,2008.0,2,dif sexo
2018-02-02,Masculino,Femenino,1981-09-30,13274 days,36.3,2018,1981.0,2,dif sexo
2018-02-02,No declara,No declara,1994-10-07,8519 days,23.3,2018,1994.0,2,desconocido
2018-02-02,Masculino,Femenino,2014-11-14,1176 days,3.2,2018,2014.0,2,dif sexo
2018-02-02,Masculino,Femenino,1997-11-19,7380 days,20.2,2018,1997.0,2,dif sexo
2018-02-02,Masculino,Femenino,2013-11-12,1543 days,4.2,2018,2013.0,2,dif sexo
2018-02-02,Masculino,No declara,1995-11-03,8127 days,22.3,2018,1995.0,2,desconocido
2018-02-02,Masculino,Femenino,1994-12-02,8463 days,23.2,2018,1994.0,2,dif sexo
2018-02-02,No declara,No declara,1985-07-18,11887 days,32.5,2018,1985.0,2,desconocido
2018-02-02,Masculino,Femenino,1980-05-30,13762 days,37.7,2018,1980.0,2,dif sexo
2018-02-02,Masculino,Femenino,1975-02-14,15694 days,43.0,2018,1975.0,2,dif sexo
2018-02-05,Masculino,Femenino,2000-06-16,6443 days,17.6,2018,2000.0,2,dif sexo
2018-02-05,No declara,No declara,1986-12-04,11386 days,31.2,2018,1986.0,2,desconocido
2018-02-05,Masculino,Femenino,1995-12-21,8082 days,22.1,2018,1995.0,2,dif sexo
2018-02-05,Masculino,Femenino,1999-06-25,6800 days,18.6,2018,1999.0,2,dif sexo
2018-02-05,Masculino,Femenino,2009-03-27,3237 days,8.9,2018,2009.0,2,dif sexo
2018-02-05,Masculino,Femenino,2008-11-07,3377 days,9.2,2018,2008.0,2,dif sexo
2018-02-05,Masculino,Femenino,1993-11-05,8858 days,24.3,2018,1993.0,2,dif sexo
2018-02-05,Masculino,Femenino,2011-01-14,2579 days,7.1,2018,2011.0,2,dif sexo
2018-02-05,No declara,No declara,1993-09-30,8894 days,24.4,2018,1993.0,2,desconocido
2018-02-05,Masculino,Femenino,1998-04-14,7237 days,19.8,2018,1998.0,2,dif sexo
2018-02-05,Masculino,Femenino,2003-06-27,5337 days,14.6,2018,2003.0,2,dif sexo
2018-02-05,Masculino,Femenino,2011-12-13,2246 days,6.1,2018,2011.0,2,dif sexo
2018-02-05,No declara,Femenino,2010-11-04,2650 days,7.3,2018,2010.0,2,desconocido
2018-02-05,Masculino,Femenino,2016-04-29,647 days,1.8,2018,2016.0,2,dif sexo
2018-02-05,Masculino,Femenino,2014-01-31,1466 days,4.0,2018,2014.0,2,dif sexo
2018-02-05,Masculino,Femenino,2010-12-03,2621 days,7.2,2018,2010.0,2,dif sexo
2018-02-06,Masculino,Femenino,2002-05-13,5748 days,15.7,2018,2002.0,2,dif sexo
2018-02-06,No declara,No declara,1983-02-03,12787 days,35.0,2018,1983.0,2,desconocido
2018-02-06,No declara,No declara,1990-08-03,10049 days,27.5,2018,1990.0,2,desconocido
2018-02-06,No declara,No declara,1992-03-19,9455 days,25.9,2018,1992.0,2,desconocido
2018-02-06,Masculino,Femenino,1978-06-21,14475 days,39.6,2018,1978.0,2,dif sexo
2018-02-06,Masculino,Femenino,2008-12-29,3326 days,9.1,2018,2008.0,2,dif sexo
2018-02-06,Masculino,Femenino,2006-12-15,4071 days,11.1,2018,2006.0,2,dif sexo
2018-02-06,Masculino,Femenino,2005-02-17,4737 days,13.0,2018,2005.0,2,dif sexo
2018-02-06,No declara,No declara,1995-06-09,8278 days,22.7,2018,1995.0,2,desconocido
2018-02-06,Masculino,Femenino,2008-03-28,3602 days,9.9,2018,2008.0,2,dif sexo
2018-02-06,Masculino,Femenino,2005-04-11,4684 days,12.8,2018,2005.0,2,dif sexo
2018-02-06,No declara,No declara,1985-05-22,11948 days,32.7,2018,1985.0,2,desconocido
2018-02-06,Masculino,,2006-12-11,4075 days,11.2,2018,2006.0,2,desconocido
2018-02-06,Masculino,Femenino,2012-06-22,2055 days,5.6,2018,2012.0,2,dif sexo
2018-02-07,Masculino,Femenino,2005-08-26,4548 days,12.5,2018,2005.0,2,dif sexo
2018-02-07,Masculino,Femenino,2013-07-16,1667 days,4.6,2018,2013.0,2,dif sexo
2018-02-07,Masculino,Femenino,1998-10-30,7040 days,19.3,2018,1998.0,2,dif sexo
2018-02-07,Masculino,Femenino,2006-11-17,4100 days,11.2,2018,2006.0,2,dif sexo
2018-02-07,Masculino,Femenino,2010-09-17,2700 days,7.4,2018,2010.0,2,dif sexo
2018-02-07,Masculino,Femenino,1977-09-09,14761 days,40.4,2018,1977.0,2,dif sexo
2018-02-07,Masculino,Femenino,2000-12-05,6273 days,17.2,2018,2000.0,2,dif sexo
2018-02-07,No declara,No declara,1991-02-01,9868 days,27.0,2018,1991.0,2,desconocido
2018-02-07,Masculino,Femenino,2000-06-30,6431 days,17.6,2018,2000.0,2,dif sexo
2018-02-07,Femenino,Masculino,2015-05-29,985 days,2.7,2018,2015.0,2,dif sexo
2018-02-07,Masculino,Femenino,1981-12-04,13214 days,36.2,2018,1981.0,2,dif sexo
2018-02-07,No declara,No declara,1993-07-22,8966 days,24.5,2018,1993.0,2,desconocido
2018-02-07,Masculino,Femenino,1976-12-17,15027 days,41.1,2018,1976.0,2,dif sexo
2018-02-07,Masculino,Femenino,1991-01-04,9896 days,27.1,2018,1991.0,2,dif sexo
2018-02-07,Masculino,Femenino,2013-04-04,1770 days,4.8,2018,2013.0,2,dif sexo
2018-02-07,Masculino,Femenino,2004-08-26,4913 days,13.5,2018,2004.0,2,dif sexo
2018-02-07,Masculino,Femenino,2000-10-13,6326 days,17.3,2018,2000.0,2,dif sexo
2018-02-07,No declara,No declara,1994-05-26,8658 days,23.7,2018,1994.0,2,desconocido
2018-02-07,Masculino,Femenino,1980-03-14,13844 days,37.9,2018,1980.0,2,dif sexo
2018-02-07,Masculino,Femenino,2001-05-15,6112 days,16.7,2018,2001.0,2,dif sexo
2018-02-08,Masculino,Femenino,2001-04-06,6152 days,16.8,2018,2001.0,2,dif sexo
2018-02-08,Masculino,Femenino,1999-11-05,6670 days,18.3,2018,1999.0,2,dif sexo
2018-02-08,Masculino,Femenino,1998-01-08,7336 days,20.1,2018,1998.0,2,dif sexo
2018-02-08,Masculino,Femenino,2014-07-31,1288 days,3.5,2018,2014.0,2,dif sexo
2018-02-08,Masculino,Femenino,2013-02-25,1809 days,5.0,2018,2013.0,2,dif sexo
2018-02-08,Masculino,Femenino,1992-04-01,9444 days,25.9,2018,1992.0,2,dif sexo
2018-02-08,Masculino,Femenino,2011-04-18,2488 days,6.8,2018,2011.0,2,dif sexo
2018-02-08,Masculino,Femenino,1970-11-09,17258 days,47.2,2018,1970.0,2,dif sexo
2018-02-08,Masculino,No declara,1985-08-01,11879 days,32.5,2018,1985.0,2,desconocido
2018-02-08,Masculino,Femenino,2001-05-03,6125 days,16.8,2018,2001.0,2,dif sexo
2018-02-08,Masculino,Femenino,2005-11-16,4467 days,12.2,2018,2005.0,2,dif sexo
2018-02-08,Masculino,Femenino,1993-03-04,9107 days,24.9,2018,1993.0,2,dif sexo
2018-02-08,Masculino,Femenino,1998-11-27,7013 days,19.2,2018,1998.0,2,dif sexo
2018-02-08,Masculino,Femenino,1983-01-19,12804 days,35.1,2018,1983.0,2,dif sexo
