fecha_divorcio,fecha_matrimonio,sexo_1,sexo_2
2020-03-02",1995-09-21",M",F"
2020-10-29",1994-10-05",M",F"
2020-11-18",1995-03-17",NO DECLARA",F"
2020-12-14",1995-04-21",M",F"
2020-12-18",1983-04-08",NO DECLARA",NO DECLARA"
2020-02-18",1983-10-03",M",F"
2020-01-08",1984-01-09",NO DECLARA",NO DECLARA"
2020-08-12",1984-05-10",NO DECLARA",NO DECLARA"
2020-12-22",1983-12-07",NO DECLARA",NO DECLARA"
2020-03-13",1983-10-07",NO DECLARA",NO DECLARA"
2020-12-07",1984-03-30",NO DECLARA",NO DECLARA"
2020-11-20",1984-04-05",M",F"
2020-11-17",1984-06-01",M",NO DECLARA"
2020-11-17",1984-01-05",NO DECLARA",NO DECLARA"
2020-10-16",1983-10-05",M",F"
2020-03-13",1983-11-11",NO DECLARA",NO DECLARA"
2020-11-13",1983-11-24",M",F"
2020-11-17",1983-08-04",NO DECLARA",NO DECLARA"
2020-02-20",1983-08-18",M",NO DECLARA"
2020-09-16",1983-06-30",M",NO DECLARA"
2020-08-18",1983-06-21",NO DECLARA",NO DECLARA"
2020-01-17",1983-09-20",NO DECLARA",NO DECLARA"
2020-03-02",1983-05-02",NO DECLARA",NO DECLARA"
2020-03-10",1983-08-09",NO DECLARA",NO DECLARA"
2020-01-07",1983-09-22",NO DECLARA",NO DECLARA"
2020-09-18",1983-06-01",DESCONOCIDO",F"
2020-10-23",1983-06-16",NO DECLARA",NO DECLARA"
2020-02-17",1983-07-08",NO DECLARA",NO DECLARA"
2020-10-29",1983-08-05",NO DECLARA",NO DECLARA"
2020-12-01",1983-05-19",NO DECLARA",F"
2020-12-21",1983-07-25",NO DECLARA",NO DECLARA"
2020-07-25",1985-02-28",NO DECLARA",NO DECLARA"
2020-11-19",1984-11-28",NO DECLARA",NO DECLARA"
2020-01-09",1984-09-13",NO DECLARA",NO DECLARA"
2020-11-19",1984-12-14",NO DECLARA",NO DECLARA"
2020-12-03",1984-08-03",NO DECLARA",NO DECLARA"
2020-12-11",1984-11-02",NO DECLARA",NO DECLARA"
2020-03-10",1985-01-02",NO DECLARA",NO DECLARA"
2020-01-22",1985-01-18",NO DECLARA",NO DECLARA"
2020-12-29",1984-12-27",NO DECLARA",F"
2020-11-30",1984-08-10",NO DECLARA",NO DECLARA"
2020-11-07",1985-03-25",NO DECLARA",NO DECLARA"
2020-01-08",1984-08-24",NO DECLARA",NO DECLARA"
2020-12-10",1984-09-04",NO DECLARA",NO DECLARA"
2020-01-07",1984-09-14",NO DECLARA",F"
2020-09-15",1984-07-20",NO DECLARA",NO DECLARA"
2020-08-25",1984-04-12",NO DECLARA",NO DECLARA"
2020-11-17",1984-09-07",M",NO DECLARA"
2020-03-13",1984-03-09",NO DECLARA",NO DECLARA"
2020-12-28",1984-03-09",NO DECLARA",NO DECLARA"
2020-11-25",1984-03-14",NO DECLARA",NO DECLARA"
2020-03-12",1984-05-21",NO DECLARA",NO DECLARA"
2020-12-04",1984-01-11",NO DECLARA",NO DECLARA"
2020-01-09",1984-10-05",M",NO DECLARA"
2020-11-30",1984-08-09",NO DECLARA",NO DECLARA"
2020-10-29",1984-03-07",M",NO DECLARA"
2020-12-14",1984-01-19",NO DECLARA",NO DECLARA"
2020-12-18",1984-01-19",M",NO DECLARA"
2020-12-14",1984-02-03",NO DECLARA",NO DECLARA"
2020-11-09",1984-02-17",NO DECLARA",NO DECLARA"
2020-02-18",1984-10-08",NO DECLARA",NO DECLARA"
2020-10-01",1984-02-27",NO DECLARA",NO DECLARA"
2020-11-09",1984-07-19",M",F"
2020-12-04",1985-08-02",NO DECLARA",NO DECLARA"
2020-03-04",1986-05-09",NO DECLARA",NO DECLARA"
2020-11-22",1985-09-02",M",F"
2020-10-04",1985-12-05",NO DECLARA",NO DECLARA"
2020-12-19",1986-09-05",NO DECLARA",NO DECLARA"
2020-02-17",1986-10-16",NO DECLARA",NO DECLARA"
2020-12-03",1987-02-26",M",F"
2020-12-21",1987-03-23",M",NO DECLARA"
2020-01-09",1985-10-04",NO DECLARA",NO DECLARA"
2020-12-10",1985-12-05",M",F"
2020-11-27",1986-06-27",NO DECLARA",NO DECLARA"
2020-02-18",1985-12-06",M",NO DECLARA"
2020-11-06",1986-06-23",M",NO DECLARA"
2020-12-14",1986-05-28",NO DECLARA",NO DECLARA"
2020-11-04",1985-05-17",NO DECLARA",NO DECLARA"
2020-12-14",1985-09-20",NO DECLARA",NO DECLARA"
2020-10-05",1986-03-19",M",F"
2020-01-15",1985-03-07",NO DECLARA",NO DECLARA"
